id,type,iban,amount,overdraft,debitcard,interest
1,GIRO,AT44-9423-7122-5673-4014,2487,4500,F,4.75
2,STUDENT,AT73-4490-6912-1718-4348,807.1,0,T,4.625
3,STUDENT,AT60-3454-1468-4281-6642,2979.8,0,F,3.125
4,GIRO,AT27-2376-7807-7878-3534,2506.5,2000,F,0.75
5,STUDENT,AT30-4899-9744-3438-5660,1218.3,0,F,4
6,GIRO,AT25-5014-1261-8145-9929,16272.7,1500,F,5.375
7,GIRO,AT62-9138-8001-3587-8489,14653.7,2500,F,2.5
8,STUDENT,AT23-5999-7455-1049-9741,2940.9,0,T,3.5
9,GIRO,AT64-3809-8880-4692-7301,12730.9,5000,F,4
10,GIRO,AT51-3963-8207-1743-3454,12123,2500,F,1.125
11,STUDENT,AT95-5125-8933-9594-4987,2831.8,0,F,1.75
12,STUDENT,AT18-4895-9570-5051-6273,58,0,T,6.625
13,GIRO,AT29-2843-7609-9037-1608,-1643.9,3000,F,4.375
14,GIRO,AT17-8154-3983-8070-2462,9430.9,4500,F,1.5
15,GIRO,AT60-9398-2348-6481-4652,-2547.5,4500,F,7.5
16,GIRO,AT27-2450-1083-2555-2492,18337.8,4500,F,2.5
17,GIRO,AT10-2385-8914-2456-7285,6100.7,3000,F,5.875
18,STUDENT,AT86-8787-6824-3906-4304,522.1,0,T,2.375
19,STUDENT,AT88-8726-2792-2266-9411,2683.8,0,F,1.75
20,STUDENT,AT26-3879-2093-8949-5500,1072.7,0,T,1.5
21,GIRO,AT38-3874-3139-8045-5120,19052.4,2000,F,5
22,STUDENT,AT11-4311-8522-1612-8443,1899.5,0,T,6.125
23,STUDENT,AT65-5534-4810-5150-2711,2220.9,0,F,7.75
24,GIRO,AT90-2288-2768-1637-8270,-2337.8,4500,F,5.625
25,GIRO,AT77-7837-2815-4709-6110,4097.1,1500,F,6.625
26,STUDENT,AT71-4228-4386-4418-1123,2457,0,T,3.25
27,GIRO,AT70-2441-2327-7281-4766,11815.6,5000,F,7.375
28,STUDENT,AT22-7014-2459-3435-6987,2481.2,0,T,5.75
29,GIRO,AT73-5242-7189-7050-1014,9092,2500,F,1.5
30,GIRO,AT17-1327-6528-8537-9685,9779.5,1000,F,3.5
31,GIRO,AT67-3568-6747-6115-1072,-1237.5,5000,F,5
32,STUDENT,AT98-1023-6331-9773-8299,2170,0,T,0.875
33,GIRO,AT55-3084-5955-7146-3339,2204.2,2500,F,4.875
34,GIRO,AT45-6611-5796-9311-4063,15064.9,2000,F,6.875
35,STUDENT,AT29-3301-9052-8569-3911,2512.5,0,F,0.5
36,STUDENT,AT55-5413-7346-8336-5404,740.5,0,T,0.5
37,GIRO,AT45-1775-6374-9019-6914,4118.2,500,F,7
38,STUDENT,AT20-8141-8158-5820-5142,129.8,0,T,2.625
39,GIRO,AT82-8618-1081-4859-6249,-1585.9,4500,F,5.125
40,STUDENT,AT74-2003-6013-9036-6505,333.3,0,T,4.875
41,STUDENT,AT69-2892-3095-4142-5228,300.2,0,F,1.5
42,STUDENT,AT34-2614-3503-5581-1127,34.3,0,T,1.75
43,GIRO,AT40-3164-6121-8201-4447,6712.8,4000,F,5.5
44,STUDENT,AT94-6058-8854-5924-5769,2331.4,0,T,0.75
45,STUDENT,AT72-1264-8610-7436-5402,999.7,0,F,1.375
46,STUDENT,AT81-3255-2430-6077-6573,412.4,0,T,3.875
47,GIRO,AT56-4127-1369-3064-3450,13222.4,2000,F,2.125
48,GIRO,AT16-4513-9471-2955-5573,6426.2,2000,F,7.625
49,GIRO,AT55-9112-4626-4081-6258,1759.4,4000,F,4.875
50,STUDENT,AT91-3969-5302-2815-8462,2282.6,0,T,6.875
51,STUDENT,AT50-3415-4486-3842-2515,1551.5,0,F,3.125
52,STUDENT,AT13-3077-5969-5025-4531,2979.7,0,T,1.625
53,GIRO,AT42-1462-8575-8510-1774,8146.1,2000,F,2.625
54,STUDENT,AT29-4128-8252-1114-6034,1688.2,0,T,4.625
55,GIRO,AT58-4220-7340-3586-1033,1012,1500,F,6
56,GIRO,AT17-5343-1098-7363-1269,4831.2,3500,F,3.5
57,STUDENT,AT42-6911-2766-6460-4232,2874.9,0,F,6.375
58,STUDENT,AT79-6324-2952-9205-3116,915,0,T,1.125
59,GIRO,AT15-2879-7411-9316-9046,15914.1,4000,F,7.875
60,STUDENT,AT46-3445-5815-1996-3647,1142.3,0,T,1.375
61,STUDENT,AT26-9454-3536-6307-4677,2851.8,0,F,2.625
